trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2561,False,"{'a': 0.05446821218829394, 'e': 0.005933572277978025}",25,15,20.674845917946612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2562,False,"{'a': 0.05441371671473135, 'e': 0.005921705133422069}",25,15,20.50638959005656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2563,False,"{'a': 0.05435927576391735, 'e': 0.005909861723155225}",25,0,42.35433351662606,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2564,False,"{'a': 0.054304889281301894, 'e': 0.005898041999708914}",20,4,25.723368968279814,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2565,False,"{'a': 0.054250557212389514, 'e': 0.005886245915709496}",20,14,11.798936620283106,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2566,False,"{'a': 0.05419627950273929, 'e': 0.0058744734238780775}",20,12,14.508522891904526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2567,False,"{'a': 0.054142056097964734, 'e': 0.005862724477030321}",20,14,11.508420803354266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2568,False,"{'a': 0.05408788694373381, 'e': 0.005850999028076261}",25,5,29.736702512546902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2569,False,"{'a': 0.05403377198576881, 'e': 0.005839297030020108}",20,2,27.931341349500222,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2570,False,"{'a': 0.053979711169846345, 'e': 0.005827618435960068}",25,3,40.73917404885386,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2571,False,"{'a': 0.05392570444179727, 'e': 0.005815963199088148}",30,9,24.814164299535918,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
2572,False,"{'a': 0.05387175174750665, 'e': 0.0058043312726899715}",30,15,28.713053087831902,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2573,False,"{'a': 0.05381785303291368, 'e': 0.005792722610144591}",20,8,25.084259415858995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2574,False,"{'a': 0.05376400824401163, 'e': 0.005781137164924302}",30,16,15.957685622075077,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2575,False,"{'a': 0.053710217326847845, 'e': 0.005769574890594454}",20,14,-0.018154538807848786,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2576,False,"{'a': 0.05365648022752361, 'e': 0.005758035740813265}",20,2,31.057019930849314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2577,False,"{'a': 0.05360279689219415, 'e': 0.005746519669331638}",30,0,44.14660838743444,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
2578,False,"{'a': 0.05354916726706856, 'e': 0.005735026629992975}",20,10,20.92810366234394,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2579,False,"{'a': 0.053495591298409764, 'e': 0.005723556576732989}",30,12,31.751616204982085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2580,False,"{'a': 0.05344206893253443, 'e': 0.005712109463579523}",20,12,15.705298789881063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2581,False,"{'a': 0.053388600115812944, 'e': 0.005700685244652364}",20,3,30.516532193746134,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2582,False,"{'a': 0.05333518479466936, 'e': 0.0056892838741630595}",20,0,34.77574973435647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2583,False,"{'a': 0.05328182291558132, 'e': 0.0056779053064147334}",25,15,-3.5809232275359966,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2584,False,"{'a': 0.053228514425080024, 'e': 0.005666549495801904}",20,13,12.117020260761251,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2585,False,"{'a': 0.053175259269750155, 'e': 0.0056552163968103}",20,13,16.049506579511956,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2586,False,"{'a': 0.05312205739622986, 'e': 0.005643905964016679}",30,16,23.353798606216262,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2587,False,"{'a': 0.053068908751210654, 'e': 0.005632618152088646}",25,0,38.6279358195071,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2588,False,"{'a': 0.0530158132814374, 'e': 0.005621352915784469}",30,20,17.61738241509264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2589,False,"{'a': 0.052962770933708235, 'e': 0.005610110209952899}",20,3,32.22294248102914,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2590,False,"{'a': 0.052909781654874526, 'e': 0.005598889989532994}",20,0,32.52209228905973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2591,False,"{'a': 0.052856845391840816, 'e': 0.005587692209553928}",30,18,23.753150516384846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2592,False,"{'a': 0.05280396209156478, 'e': 0.00557651682513482}",20,10,19.870207707233753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2593,False,"{'a': 0.052751131701057136, 'e': 0.00556536379148455}",25,19,12.862208706983315,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2594,False,"{'a': 0.052698354167381646, 'e': 0.005554233063901581}",30,19,19.72313928738582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2595,False,"{'a': 0.05264562943765502, 'e': 0.0055431245977737775}",20,11,16.950850158034314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2596,False,"{'a': 0.05259295745904688, 'e': 0.00553203834857823}",20,12,11.936780655558518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
